subject,sessionIndex,rep,H.period,DD.period.x,UD.period.x,H.x,DD.x.a,UD.x.a,H.a,DD.a.t,UD.a.t,H.t,DD.t.1,UD.t.1,H.1,DD.1.7,UD.1.7,H.7,DD.7.p,UD.7.p,H.p,DD.p.a,UD.p.a,H.a,DD.a.d,UD.a.d,H.d,DD.d.n,UD.d.n,H.n,DD.n.Return,UD.n.Return,H.Return
subject0,1,11,0.1229250431,0.5197479725,0.3968229294,0.0977630615,0.1623342037,0.0645711422,0.1675980091,0.3740849495,0.2064869404,0.0996360779,0.3378610611,0.2382249832,0.1272568703,0.7365429401,0.6092860699,0.088062048,0.6058778763,0.5178158283,0.1109449863,0.2495541573,0.1386091709,0.1534910202,0.2133069038,0.0598158836,0.1288061142,0.4215519428,0.2927458286,0.0971651077,0.5079350472,0.4107699394,0.1289539337
subject0,1,12,0.1301090717,0.5348451138,0.404736042,0.1026198864,0.177464962,0.0748450756,0.1467380524,0.3657798767,0.2190418243,0.0957360268,0.3943710327,0.298635006,0.12195611,0.4206740856,0.2987179756,0.0960259438,0.5336589813,0.4376330376,0.1225180626,0.1435461044,0.0210280418,0.1668357849,0.2268409729,0.060005188,0.112942934,0.5734469891,0.460504055,0.0932619572,0.4853930473,0.3921310902,0.1176149845
subject0,1,13,0.1362748146,0.646520853,0.5102460384,0.0904281139,0.1476061344,0.0571780205,0.1576159,0.4755208492,0.3179049492,0.0924580097,0.4691960812,0.3767380714,0.1419460773,0.8546559811,0.7127099037,0.0887460709,0.4518110752,0.3630650043,0.1122219563,0.3004069328,0.1881849766,0.1428849697,0.2126209736,0.0697360039,0.1137290001,0.3918800354,0.2781510353,0.1238350868,0.5160279274,0.3921928406,0.1394410133
subject0,1,14,0.1287169456,1.4083340168,1.2796170712,0.0959169865,0.2058360577,0.1099190712,0.1580648422,0.3917250633,0.2336602211,0.1021637917,0.2690727711,0.1669089794,0.1432321072,0.6431081295,0.4998760223,0.0931379795,1.5802199841,1.4870820046,0.1177499294,0.2372300625,0.1194801331,0.1327569485,0.7463288307,0.6135718822,0.1078290939,0.4419760704,0.3341469765,0.1003799438,0.5983240604,0.4979441166,0.1358699799
subject0,1,15,0.1113941669,0.5343520641,0.4229578972,0.0954811573,0.1508209705,0.0553398132,0.1581220627,0.377808094,0.2196860313,0.0897419453,0.2549068928,0.1651649475,0.1282601357,0.5931611061,0.4649009705,0.0934650898,0.5700120926,0.4765470028,0.1179878712,0.1869487762,0.0689609051,0.1729571819,0.2428040504,0.0698468685,0.1376900673,0.4553630352,0.3176729679,0.0993571281,0.8165690899,0.7172119617,0.1362018585
subject0,1,16,0.1274540424,0.6969351768,0.5694811344,0.0973129272,0.1437728405,0.0464599133,0.1562070847,0.4414279461,0.2852208614,0.0959830284,0.3287901878,0.2328071594,0.1345558167,0.371986866,0.2374310493,0.093362093,0.783796072,0.690433979,0.1273219585,0.2286579609,0.1013360024,0.1507959366,0.2412581444,0.0904622078,0.1334168911,0.4956309795,0.3622140884,0.0879929066,0.4647548199,0.3767619133,0.1315281391
subject0,1,17,0.1249849796,0.9643359184,0.8393509388,0.0999999046,0.1328749657,0.032875061,0.1544489861,0.5195848942,0.3651359081,0.0920820236,0.7440001965,0.6519181728,0.140873909,0.7012438774,0.5603699684,0.0937459469,1.0802979469,0.986552,0.1175820827,0.172604084,0.0550220013,0.1716389656,0.1928639412,0.0212249756,0.1296620369,0.480255127,0.3505930901,0.1133680344,0.9347519875,0.8213839531,0.1196079254
subject0,1,18,0.1184709072,0.7914288044,0.6729578972,0.093485117,0.158288002,0.0648028851,0.1531472206,0.4076931477,0.254545927,0.086304903,0.6742150784,0.5879101753,0.1284608841,2.1304748058,2.0020139217,0.1260890961,0.8058450222,0.6797559261,0.1111471653,0.1320700645,0.0209228992,0.164055109,0.2524299622,0.0883748531,0.1189219952,0.4699809551,0.35105896,0.0993061066,3.1865141392,3.0872080326,0.1478769779
subject0,1,19,0.1274871826,0.5246610641,0.3971738815,0.098263979,0.1222760677,0.0240120888,0.1628210545,0.5112099648,0.3483889103,0.102699995,1.0660719872,0.9633719921,0.1278860569,0.4228870869,0.29500103,0.0906529427,0.494478941,0.4038259983,0.1016230583,0.1176278591,0.0160048008,0.164506197,0.2402920723,0.0757858753,0.1155760288,0.3841409683,0.2685649395,0.0909819603,0.963365078,0.8723831177,0.1365480423
subject0,1,20,0.1029500961,0.539222002,0.4362719059,0.1064870358,0.1426320076,0.0361449718,0.1630129814,0.3767459393,0.2137329578,0.0931661129,0.7892079353,0.6960418224,0.1330761909,0.4548890591,0.3218128681,0.0885219574,0.7827241421,0.6942021847,0.1030299664,0.1225218773,0.0194919109,0.1536419392,0.2538909912,0.100249052,0.1220870018,0.4721469879,0.3500599861,0.0894019604,0.9410960674,0.8516941071,0.1290049553
